Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Class
1648640907743,61,107,89,25,78,32,106,58,528,banana_fresh
1648746185944,74,197,116,74,91,69,173,92,710,banana_fresh
1648640911793,51,99,71,30,65,36,92,57,530,banana_fresh
1648640977891,51,120,72,42,69,43,101,56,552,banana_fresh
1648746145868,75,205,105,81,92,67,175,91,709,banana_fresh
1648640928813,58,104,81,32,65,41,90,62,529,banana_fresh
1648641004680,67,102,80,31,67,46,90,60,540,banana_fresh
1648640914449,56,97,79,28,68,42,77,61,525,banana_fresh
1648640872825,51,98,74,32,62,35,92,58,498,banana_fresh
1648746097013,59,191,90,88,89,53,185,96,656,banana_fresh
1648641003182,59,97,81,32,68,43,91,66,533,banana_fresh
1648641013241,76,91,91,26,79,41,103,60,552,banana_fresh
1648640980005,60,105,81,34,70,45,92,62,539,banana_fresh
1648746125240,66,205,98,82,89,68,183,88,691,banana_fresh
1648641012779,58,99,85,33,69,48,89,62,534,banana_fresh
1648746166988,74,203,117,79,86,66,175,90,711,banana_fresh
1648640932043,53,104,77,28,68,40,94,63,532,banana_fresh
1648641084322,57,96,85,27,67,43,95,64,544,banana_fresh
1648640980725,60,109,83,35,70,44,89,63,536,banana_fresh
1648640939608,57,102,74,34,67,43,93,61,526,banana_fresh
1648746125107,64,206,107,81,88,62,177,85,688,banana_fresh
1648746143267,71,203,108,85,88,69,181,92,704,banana_fresh
1648640859921,52,79,79,14,65,32,62,57,489,banana_fresh
1648641061699,64,104,85,29,68,47,93,65,539,banana_fresh
1648640902173,53,106,77,34,65,42,94,60,524,banana_fresh
1648640863921,53,90,81,26,68,33,73,63,481,banana_fresh
1648641034842,59,104,85,30,71,43,94,65,540,banana_fresh
1648640923892,63,97,80,30,66,42,79,65,523,banana_fresh
1648746133932,68,204,107,80,85,67,188,84,696,banana_fresh
1648746183471,74,196,119,80,89,69,177,92,707,banana_fresh
1648640907155,53,105,79,34,68,44,97,61,526,banana_fresh
1648746077365,58,146,108,69,69,53,151,75,617,banana_fresh
1648641029341,64,104,80,33,67,48,94,61,539,banana_fresh
1648746184068,76,196,117,77,96,68,173,92,705,banana_fresh
1648641067582,58,102,86,29,70,48,89,65,544,banana_fresh
1648640881801,54,106,77,42,61,39,94,60,508,banana_fresh
1648640966371,59,108,81,32,66,45,96,64,539,banana_fresh
1648746073012,60,127,108,68,77,53,143,78,603,banana_fresh
1648640983111,61,106,82,28,69,45,93,62,537,banana_fresh
1648641006356,57,101,81,28,66,46,90,66,535,banana_fresh
1648641006030,64,101,84,26,67,42,87,62,538,banana_fresh
1648641028368,68,107,87,24,78,45,93,69,538,banana_fresh
1648746072844,66,126,107,67,73,51,142,74,609,banana_fresh
1648746149055,68,196,114,91,84,72,179,94,715,banana_fresh
1648640881178,52,105,71,36,67,38,98,58,512,banana_fresh
1648640893215,52,115,75,41,67,41,102,66,521,banana_fresh
1648640909797,59,108,79,37,70,43,93,62,527,banana_fresh
1648640860930,50,82,79,23,67,41,62,53,502,banana_fresh
1648640984282,58,105,82,34,67,45,91,61,534,banana_fresh
1648746120474,68,200,102,86,87,63,186,89,685,banana_fresh
1648641055677,58,100,85,32,67,44,93,65,544,banana_fresh
1648640977663,59,108,80,30,71,48,96,63,539,banana_fresh
1648746118452,64,201,103,82,86,63,183,84,681,banana_fresh
1648640909974,55,109,78,32,67,42,94,62,527,banana_fresh
1648746183202,75,194,115,67,93,71,166,91,706,banana_fresh
1648640925186,59,97,76,31,71,43,80,62,527,banana_fresh
1648641057546,60,101,83,30,69,47,96,63,537,banana_fresh
1648641066955,58,102,82,28,67,45,92,67,541,banana_fresh
1648640948816,56,106,85,33,69,49,91,58,535,banana_fresh
1648640880584,49,117,64,49,63,39,107,55,514,banana_fresh
1648746106221,64,199,101,85,86,63,185,84,668,banana_fresh
1648641089287,59,101,83,30,72,49,91,69,531,banana_fresh
1648640873840,57,104,72,39,64,37,96,56,495,banana_fresh
1648746096182,62,191,98,82,81,58,178,80,654,banana_fresh
1648640982134,62,106,83,26,70,47,93,63,539,banana_fresh
1648641050256,59,103,81,30,67,45,94,66,540,banana_fresh
1648641080138,61,100,86,30,68,43,88,65,537,banana_fresh
1648641033768,57,100,84,29,68,45,96,65,544,banana_fresh
1648640985519,59,104,82,36,71,49,93,63,534,banana_fresh
1648640880729,59,107,77,38,74,31,100,60,505,banana_fresh
1648746160678,72,207,114,79,92,70,176,89,704,banana_fresh
1648640932925,58,103,80,35,71,43,94,63,530,banana_fresh
1648641085666,62,99,84,29,66,44,90,62,538,banana_fresh
1648641042687,61,101,85,29,68,47,93,63,545,banana_fresh
1648641025152,65,109,84,40,71,48,102,64,541,banana_fresh
1648746180706,77,199,116,74,89,67,180,94,708,banana_fresh
1648640992435,58,99,83,33,70,44,92,64,541,banana_fresh
1648641006599,53,100,79,31,67,49,91,60,538,banana_fresh
1648746099222,61,190,100,82,78,59,179,80,657,banana_fresh
1648640901771,54,105,78,33,68,38,97,61,522,banana_fresh
1648641055266,63,97,80,31,68,47,87,64,540,banana_fresh
1648640895740,53,104,71,33,67,39,98,60,520,banana_fresh
1648746095422,60,182,95,83,77,60,173,86,657,banana_fresh
1648746159416,76,204,113,81,87,69,181,91,706,banana_fresh
1648746168726,73,197,123,78,96,65,182,92,706,banana_fresh
1648641086875,68,95,90,29,80,40,83,72,536,banana_fresh
1648746083929,64,171,94,76,76,56,172,77,633,banana_fresh
1648640866719,51,90,78,27,65,32,72,53,481,banana_fresh
1648640875860,50,102,76,38,70,38,98,56,499,banana_fresh
1648640879762,54,104,74,33,69,36,94,60,507,banana_fresh
1648746154566,76,204,112,80,87,66,178,89,703,banana_fresh
1648640958956,55,105,83,32,70,42,96,68,527,banana_fresh
1648746080265,56,157,102,73,79,60,165,72,617,banana_fresh
1648641086581,59,101,86,29,68,46,88,66,539,banana_fresh
1648640901004,54,102,76,34,68,42,95,60,521,banana_fresh
1648641022814,65,109,82,35,68,46,95,64,533,banana_fresh
1648641066536,61,100,81,32,66,46,89,65,546,banana_fresh
1648640878436,51,103,78,37,67,39,99,59,504,banana_fresh
1648641016212,56,102,81,29,69,40,93,61,537,banana_fresh
1648640928671,59,104,80,33,69,41,89,62,528,banana_fresh
1648641031572,63,102,81,34,73,49,96,65,546,banana_fresh
1648640881782,53,109,77,42,66,39,97,60,503,banana_fresh
1648746185651,76,197,110,78,94,66,172,93,706,banana_fresh
1648641037196,62,100,86,33,72,47,89,61,539,banana_fresh
1648640855277,58,81,80,19,67,33,65,59,493,banana_fresh
1648746128070,60,211,117,76,96,61,179,87,697,banana_fresh
1648640918440,56,102,79,34,71,48,98,63,528,banana_fresh
1648640869448,54,92,74,29,65,32,86,59,491,banana_fresh
1648746119940,68,204,99,84,82,65,180,88,688,banana_fresh
1648746117077,69,207,104,85,81,59,186,81,690,banana_fresh
1648746152232,73,205,110,81,91,68,185,88,707,banana_fresh
1648641061173,59,101,82,32,67,45,89,66,541,banana_fresh
1648641014835,59,102,82,28,70,41,94,65,540,banana_fresh
1648640991941,61,102,85,29,69,46,94,63,542,banana_fresh
1648746130548,66,202,105,82,87,63,186,88,698,banana_fresh
1648640920519,55,101,78,34,69,43,92,62,528,banana_fresh
1648640964852,60,107,82,37,69,44,97,61,535,banana_fresh
1648640950940,60,106,81,29,66,43,91,64,535,banana_fresh
1648641014830,58,102,78,28,67,45,90,61,537,banana_fresh
1648640929240,57,103,80,36,70,43,95,61,530,banana_fresh
1648640881641,63,95,86,31,77,40,105,50,523,banana_fresh
1648641079819,61,100,87,25,66,52,88,65,537,banana_fresh
1648641086678,61,97,83,26,71,49,89,62,541,banana_fresh
1648746117828,69,203,100,82,84,62,183,90,690,banana_fresh
1648640866279,51,87,76,27,67,34,75,61,484,banana_fresh
1648746105346,56,206,108,77,82,60,181,88,672,banana_fresh
1648640863967,50,86,78,24,65,34,78,63,480,banana_fresh
1648640933825,55,104,81,34,70,42,91,62,530,banana_fresh
1648746133470,69,203,106,82,87,66,182,89,701,banana_fresh
1648640991023,57,102,78,33,67,47,90,64,535,banana_fresh
1648640897424,59,110,76,36,68,42,97,60,521,banana_fresh
1648641073297,62,102,84,32,70,49,93,65,539,banana_fresh
1648641075768,58,101,86,32,67,47,92,66,539,banana_fresh
1648641058342,59,104,85,35,70,49,93,64,541,banana_fresh
1648746147458,73,205,110,81,89,70,176,91,704,banana_fresh
1648641014291,56,98,80,29,66,43,89,60,537,banana_fresh
1648640893394,51,105,73,38,67,37,99,65,517,banana_fresh
1648746170114,79,194,112,74,89,67,172,92,705,banana_fresh
1648746104064,63,198,102,79,83,63,173,84,676,banana_fresh
1648641054811,61,102,81,30,68,43,93,64,540,banana_fresh
1648746089619,63,182,102,80,77,59,172,80,641,banana_fresh
1648641016451,65,103,81,29,65,44,93,61,534,banana_fresh
1648641030565,57,106,82,35,68,45,97,63,544,banana_fresh
1648640868658,55,93,79,28,66,33,82,59,487,banana_fresh
1648640932863,56,106,80,35,71,41,93,64,528,banana_fresh
1648641072403,62,99,83,26,67,47,86,65,536,banana_fresh
1648746096184,62,190,97,81,82,59,177,79,655,banana_fresh
1648640978250,60,104,81,30,66,44,94,64,535,banana_fresh
1648641088099,65,102,85,30,72,48,90,67,543,banana_fresh
1648640883051,53,104,75,34,68,39,96,58,508,banana_fresh
1648641039959,59,99,80,30,71,43,92,64,543,banana_fresh
1648640976442,59,110,79,32,66,44,93,61,535,banana_fresh
1648641044531,60,104,89,36,69,52,101,55,551,banana_fresh
1648640923761,59,96,79,29,70,42,82,60,526,banana_fresh
1648640902881,50,106,74,35,63,36,92,62,520,banana_fresh
1648746150517,72,202,111,80,91,73,176,93,707,banana_fresh
1648640924937,57,92,80,26,65,43,78,59,524,banana_fresh
1648640865646,49,87,74,22,69,32,81,59,491,banana_fresh
1648640896327,52,107,80,35,67,43,93,59,523,banana_fresh
1648641073359,63,102,92,23,78,40,91,63,545,banana_fresh
1648640985566,58,106,81,32,70,45,94,64,535,banana_fresh
1648641045305,58,99,81,31,65,47,92,63,542,banana_fresh
1648746116265,68,202,106,86,86,62,184,84,680,banana_fresh
1648746165873,79,200,114,76,87,64,176,92,706,banana_fresh
1648746188751,73,188,112,78,95,65,175,86,703,banana_fresh
1648640914804,56,98,82,27,70,39,78,60,526,banana_fresh
1648746162095,69,202,111,79,91,72,178,90,709,banana_fresh
1648640903005,53,105,80,36,65,43,98,60,522,banana_fresh
1648641027720,57,105,80,28,67,45,95,65,540,banana_fresh
1648640863043,53,82,77,22,66,37,65,61,487,banana_fresh
1648746122995,63,204,107,84,83,67,183,83,687,banana_fresh
1648640952801,53,106,79,33,70,45,97,61,532,banana_fresh
1648746157242,74,201,116,80,90,66,181,90,716,banana_fresh
1648640956253,59,105,79,38,69,43,95,62,537,banana_fresh
1648641065547,62,99,85,32,68,48,93,64,544,banana_fresh
1648640908230,54,100,76,33,67,43,94,56,525,banana_fresh
1648746180683,72,195,116,80,88,71,175,94,705,banana_fresh
1648640962851,55,109,80,33,73,45,97,66,537,banana_fresh
1648641092326,57,98,84,31,72,47,86,64,537,banana_fresh
1648746136698,72,208,107,80,90,67,183,88,698,banana_fresh
1648641038023,58,102,81,32,72,48,93,63,542,banana_fresh
1648640922008,54,103,77,31,67,39,88,58,531,banana_fresh
1648640962267,54,105,78,31,74,47,89,65,536,banana_fresh
1648641000432,59,101,81,27,68,44,88,68,537,banana_fresh
1648641072827,60,99,86,29,67,43,89,64,538,banana_fresh
1648640938503,58,103,80,33,69,44,94,66,528,banana_fresh
1648746118117,65,202,106,83,81,63,183,86,683,banana_fresh
1648640971342,56,105,80,31,69,47,95,64,540,banana_fresh
1648746082940,53,184,94,80,76,63,167,79,632,banana_fresh
1648640947903,51,104,84,25,75,42,99,58,544,banana_fresh
1648641027926,61,106,83,34,71,43,94,63,541,banana_fresh
1648640878231,51,103,76,38,67,38,97,58,505,banana_fresh
1648746182525,78,191,114,79,90,68,173,92,705,banana_fresh
1648746155877,68,206,115,79,93,69,186,88,708,banana_fresh
1648640977574,65,105,79,33,71,44,98,62,538,banana_fresh
1648640969245,58,108,84,32,69,45,93,64,539,banana_fresh
1648640920443,62,103,78,32,68,45,96,62,528,banana_fresh
1648640916601,71,96,87,22,75,44,86,62,530,banana_fresh
1648746144128,70,206,114,82,88,68,183,88,706,banana_fresh
1648640860386,51,80,77,17,66,31,65,60,491,banana_fresh
1648640991866,61,101,79,29,72,48,88,63,534,banana_fresh
1648640975798,57,104,82,34,69,47,95,63,538,banana_fresh
1648640980751,59,105,83,31,73,44,94,65,538,banana_fresh
1648641042636,52,109,82,32,72,48,99,55,556,banana_fresh
1648746165327,74,202,120,84,88,71,175,91,710,banana_fresh
1648640857022,58,80,71,25,71,26,65,63,493,banana_fresh
1648640883378,56,105,75,35,63,39,92,59,508,banana_fresh
1648746100250,63,193,101,85,82,62,180,81,663,banana_fresh
1648640992638,61,104,82,32,67,43,93,61,540,banana_fresh
1648640969222,55,113,85,29,71,41,95,63,536,banana_fresh
1648746164903,78,194,121,79,99,59,181,98,702,banana_fresh
1648746176937,76,197,130,89,83,77,163,102,713,banana_fresh
